FEN,bestmove,eval
r1bq1rk1/bpp2pp1/p1np1n1p/8/B2PP3/5N1P/PP3PP1/RNBQR1K1 w - - 1 11,b1c3,97
r1bq1rk1/bpp2ppn/p1np3p/8/B2PPB2/2N2N1P/PP3PP1/R2QR1K1 b - - 4 12,c6e7,-133
r1bq1rk1/bpp1nppn/p2p3p/8/B2PPB2/2N2N1P/PP3PP1/2RQR1K1 b - - 6 13,e7g6,-110
r1bqkb1r/pppp1pp1/2n2n1p/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 5,e1g1,26
r1bqk2r/pppp1pp1/2n2n1p/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq - 2 6,c2c3,27
r1bq1rk1/pppp1pp1/2n2n1p/2b1p3/2B1P3/3P1N2/PPPN1PPP/R1BQ1RK1 w - - 4 7,c2c3,20
r1bqr1k1/pppp1pp1/2n2n1p/2b1p3/2B1P3/2PP1N2/PP1N1PPP/R1BQR1K1 b - - 0 8,c5f8,-25
r2qr1k1/ppp2pp1/2np1n1p/2b1p3/4P1b1/1BPP1N2/PP1N1PPP/R1BQR1K1 w - - 2 10,d2f1,35
r2qr1k1/ppp1npp1/3p1n1p/2b1p2b/4P3/1BPP1NNP/PP3PP1/R1BQR1K1 b - - 2 12,h5g6,-92
r2qr1k1/ppp1npp1/3p1nbp/2b1p3/4P2N/1BPP2NP/PP3PP1/R1BQR1K1 b - - 4 13,c5b6,-96
rnbqk2r/pppp1ppp/5n2/2b1p3/4P3/P1N4P/1PPP1PP1/R1BQKBNR b KQkq - 0 4,d7d5,35
rnbq1rk1/pppp1ppp/5n2/2b1p3/4P3/P1N2N1P/1PPP1PP1/R1BQKB1R b KQ - 2 5,d7d5,15
rnbqr1k1/pppp1pp1/5n1p/2b1p3/2B1P3/P1N2N1P/1PPP1PP1/R1BQK2R w KQ - 0 7,g2g4,24
rnbqr1k1/ppp2pp1/3p1n1p/2b1p3/2B1P3/P1NPBN1P/1PP2PP1/R2QK2R b KQ - 1 8,c5e3,0
rnbqr1k1/pp3pp1/1bpp1n1p/4p3/2B1P3/P1NPBN1P/1PPQ1PP1/R3K2R w KQ - 0 10,g2g4,6
rnbqr1k1/1p3pp1/1ppp1n1p/4p3/2B1P3/P1NP1N1P/1PPQ1PP1/R4RK1 b - - 1 11,d6d5,12
rn1qr1k1/1p3pp1/1ppp1n1p/4p3/2b1P3/P1NP1N1P/1PPQ1PP1/R3R1K1 w - - 0 13,d3c4,18
rnbq3r/pp1p1Qbk/6pn/2p5/2BpP3/8/PPP2PPP/RN2K2R w KQ - 0 11,f7d5,-532
r6r/1p4bk/p2pbqpn/2p1n3/Q2pP3/8/PPPNBPPP/R4RK1 w - - 0 17,f2f4,-499
r1bq1rk1/pppn1p1n/3p2p1/4p1Pp/1P1PP2P/2P2P2/P3B3/RNB1K1QR b KQ - 0 13,c7c6,-90
r1bq1rk1/ppp2p1n/3p2p1/6Pp/1P1QPPnP/2P5/P3B3/RNB1K2R w KQ - 1 16,e1g1,67
r2q1rk1/ppp4n/3p1pp1/6Pp/1P1QPPbP/2P5/PB6/RN2K2R w KQ - 0 18,c3c4,66
r2q1r1k/pp5n/2p2pp1/3p1PPp/1P2P1bP/2P1Q3/PB6/RN2K2R b KQ - 1 21,d5e4,258
r4r1k/pp5n/2p2pp1/5PPp/1P2Q1bP/2Pq4/PB1N4/R3K2R b KQ - 0 23,a8e8,mate 9
r3r2k/pp5n/2p2pp1/5PPp/1P2Q1bP/2Pq4/PB1N4/R3K2R w KQ - 1 24,h1h2,mate -8
7k/pp5n/2p2pp1/5PPp/1P4bP/2P1r1K1/PB1Nq3/R6R w - - 4 27,g3f4,mate -2
r2qk2r/ppp2p1p/2n1bp2/8/1bpp4/P4N2/1PPN1PPP/R1BQR1K1 b kq - 0 10,b4e7,341
2kr3r/pppq1pBp/2n1bp2/8/2pp4/P4N2/1PP2PPP/R2QR1K1 b - - 4 13,h8g8,367
2k1r3/pppq1p1p/2n2B2/8/P1pp2b1/1P3NP1/2P2P1P/R2Q2K1 b - - 0 18,c4b3,524
2k1r3/ppp2p1p/2n5/8/P1pB2b1/1P3qP1/2P2P1P/R2Q2K1 w - - 0 20,d1f3,-521
2k1r3/ppp2p1p/2n5/8/P1pB2b1/1P3qP1/2PQ1P1P/R5K1 b - - 1 20,g4h3,mate 2
2kr1b1r/p4ppp/2p1bn2/1p1q4/3P4/2P1BP2/P1B3PP/RN1Q1RK1 w - - 3 14,b1d2,137
2kr1b1r/p4ppp/4bn2/1ppq4/P2P4/2P1BP2/2B3PP/RN1Q1RK1 w - - 0 15,a4b5,299
2kr3r/p4ppp/4bn2/1Pbq4/3B4/2P2P2/2B3PP/RN1Q1RK1 w - - 1 17,a1a4,240
2kr3r/p4ppp/4bn2/1PBq4/8/2P2P2/2B3PP/RN1Q1RK1 b - - 0 17,d5c5,454
r4rk1/ppp3p1/2nppq1p/4p3/4P3/P2P1N2/1PPQ1PPP/2KR3R b - - 1 12,a7a5,89
r4rk1/1pp3p1/3ppq1p/p7/3pP3/P2P1P2/1PPQ2PP/2KR3R w - a6 0 15,d1f1,-27
r4rk1/6p1/3p1q1p/ppp1P3/3pP3/P2P2P1/1PPQ3P/2K2R1R b - - 0 18,f6f1,555
r1r3k1/6p1/3p3p/pp2q3/2ppP3/P2P2P1/1PP1Q2P/2K3RR w - - 2 21,c1b1,-148
r1r3k1/6p1/3p4/1p2q1p1/p1ppP1R1/P2P4/1PP1Q2P/2K4R b - - 1 23,b5b4,84
r1r3k1/6p1/3p4/1p2q1p1/pP1pP1R1/P1pP4/2P1Q2P/2K4R b - b3 0 24,a4b3,mate 10
2r3k1/6p1/3p4/1p2q1p1/3pP1R1/rPpP4/4Q2P/2K4R w - - 0 26,c1d1,mate -8
2r3k1/6p1/3pq3/1p4p1/3pP1R1/rPpP4/2Q4P/1K5R b - - 3 27,c8a8,mate 5
2r3k1/6p1/3pq3/1p4p1/3pP1R1/2pP4/1r5P/2KQ3R b - - 3 29,c8a8,mate 3
r1bq1rk1/1pp1ppb1/p1n2n1p/8/2BP2p1/2N2NBP/PPP2PP1/R2QR1K1 w - - 0 13,h3g4,129
r1bq1rk1/1pp1ppb1/p4n1p/8/2Bn2pN/6BP/PPP1NPP1/R2QR1K1 b - - 1 14,d4c6,35
r1bQ1rk1/1pp1ppb1/p4n1p/5n2/2B3pN/6BP/PPP1NPP1/R3R1K1 b - - 0 15,f8d8,62
r1b3k1/1pp1ppb1/p4n1p/5n2/2B3pN/6BP/PPP1NPP1/3rR1K1 w - - 0 17,e1d1,-171
r1b3k1/1pp1ppb1/p4n1p/8/2B3pn/6BP/PPP1NPP1/3R2K1 w - - 0 18,d1d8,108
r1bR4/1pp1ppbk/p4n1p/8/2B3pn/6BP/PPP1NPP1/6K1 w - - 2 19,g3h4,314
r1bR4/1pp2Bbk/p4n1p/4p3/6pB/7P/PPP1NPP1/6K1 b - - 0 20,g4h3,-314
r1bR4/2p2Bbk/pp3n1p/4p3/6pB/7P/PPP1NPP1/6K1 w - - 0 21,f7e6,346
r2R4/1bp3bk/pp2Bn1p/4p3/6pB/7P/PPP1NPP1/6K1 w - - 2 22,e6f5,mate 1
r3k2r/ppp3pp/1q1bpn2/6Q1/8/2N5/PPP2PPP/R1B2RK1 b kq - 4 13,e8g8,0
r4rk1/ppp3pp/1q1bpn2/6Q1/8/2N1B3/PPP2PPP/R4RK1 b - - 6 14,b6b2,205
r4rk1/ppp3pp/3bpn2/6Q1/8/4B3/PqP1NPPP/R4RK1 b - - 1 15,b2c2,259
r4rk1/ppp3pp/3bpn2/4q1Q1/8/4B3/P1P1NPPP/R4RK1 w - - 2 16,g5e5,-158
r4rk1/ppp3pp/3bpn2/4q1Q1/5B2/8/P1P1NPPP/R4RK1 b - - 3 16,e5e2,500
r4rk1/pp4pp/3ppn2/6Q1/8/8/P1P1qPPP/R4RK1 w - - 0 18,c2c4,-504
r4rk1/pp4pp/3ppn2/3q4/8/8/P1PQ1PPP/4RRK1 w - - 4 20,d2d5,-499
4rrk1/pp4pp/3ppn2/2q5/2P5/4R3/P4PPP/2Q2RK1 b - - 2 22,f6g4,537
4rrk1/pp4pp/4pn2/3p4/2q5/Q6R/P4PPP/5RK1 b - - 1 24,f6e4,541
r1bq1r1k/bpp1nppn/p2p3p/8/B2PPB2/2N2N1P/PP3PP1/2RQR1K1 w - - 7 14,a4c2,160
r1bq1r1k/bpp1n1pn/p2p3p/5p2/3PPB2/2N2N1P/PPB2PP1/2RQR1K1 w - f6 0 15,e4e5,201
r1bq1r1k/bpp3pn/p2p3p/5n2/3P1B2/2N2N1P/PPB2PP1/2RQR1K1 w - - 0 16,d1d3,287
r1bq1r1k/bpp3pn/p2p3p/8/3P1B1n/P1N2N1P/1PB2PP1/2RQR1K1 w - - 1 17,c3d5,275
r1bq1r1k/bpp3pn/p2p3p/8/3P1B1n/P1N4P/1PB2PPN/2RQR1K1 b - - 2 17,f8f4,377
r1bq3k/bpp3pn/p2p3p/8/3P1r1n/P1N4P/1PB2PPN/2RQR1K1 w - - 0 18,g2g3,-393
r1bq3k/bpp3pn/p2p3p/8/3r3n/P1N3PP/1PB2P1N/2RQR1K1 w - - 0 19,d1h5,-408
r1bq3k/bpp3p1/p2p1n1p/7Q/3r3n/P1N3PP/1PB2P1N/2R1R1K1 w - - 2 20,h5f7,-423
r1bq3k/bpp2Qp1/p2p1n1p/5n2/3r4/P1N3PP/1PB2P1N/2R1R1K1 w - - 4 21,h2g4,-307
r1bq3k/bpp2Qp1/p2p1n1p/8/3r2Pn/P1N4P/1PB2P1N/2R1R1K1 w - - 1 22,c3e4,-427
r1b3qk/bpp1RQp1/p2p1n1p/8/3r2Pn/P1N4P/1PB2P1N/2R3K1 w - - 3 23,f7g8,-460
r1b3qk/bpR2Qp1/p2p1n1p/8/5rPn/P1N4P/1PB2P1N/2R3K1 w - - 1 24,f7g8,-467
r1b3qk/bpR2Qp1/p2p3p/3n4/5rPn/P1N4P/1PB2P1N/5RK1 w - - 3 25,f7g8,3
r1b3qk/bpR2Qp1/p2p3p/3N4/5rPn/P6P/1PB2P1N/5RK1 b - - 0 25,f4f7,653
r1b3qk/bp3rp1/p2p3p/3N4/6Pn/P1R4P/1PB2P1N/5RK1 b - - 1 26,f7f2,855
r5qk/bp3rp1/p2pb2p/3N4/4B1Pn/P1R4P/1P3P1N/5RK1 b - - 3 27,f7f2,822
r4q1k/bpN2rp1/p2pb2p/8/4B1Pn/P1R4P/1P3P1N/5RK1 b - - 5 28,f7f2,mate 7
r4q1k/1pN2rp1/p2pb2p/8/4B1Pn/P1R4P/1P3b1N/5RK1 w - - 0 29,g1h1,-888
2r2q1k/1pN2rp1/p2pb2p/8/4B1Pn/P1R4P/1P3b1N/5R1K w - - 2 30,c7e6,-630
2r1q2k/1p3rp1/p2pN2p/8/4B1Pn/P1R4P/1P3b1N/5R1K w - - 1 31,e4d5,-716
2q4k/1p3rp1/p2p3p/8/3NB1Pn/P6P/1P3b1N/5R1K b - - 1 32,f7e7,707
4q2k/1p3rp1/p2p3p/8/3N2Pn/P6P/1P3bBN/5R1K b - - 3 33,f2d4,mate 7
r2qr1k1/ppp2ppb/3p1nnp/2b1pN2/4P2N/1BPP3P/PP3PP1/R1BQR1K1 w - - 7 15,f5g7,182
r2qr1k1/ppp2ppb/3p1nNp/2b1pN2/4P3/1BPP3P/PP3PP1/R1BQR1K1 b - - 0 15,h7g6,-13
r2qr1k1/ppp2pp1/3p1nbp/2b1pN2/3PP3/1BP4P/PP3PP1/R1BQR1K1 b - - 0 16,e5d4,171
r2qr1k1/ppp2pp1/1b1p1nbp/5N2/3PP3/1B5P/PP3PP1/R1BQR1K1 w - - 1 18,f5g3,-95
r2qr1k1/ppp2pp1/1b1p1nbp/4PN2/3P4/1B5P/PP3PP1/R1BQR1K1 b - - 0 18,g6f5,227
r2qr1k1/ppp2pp1/1b1p1P1p/5b2/3P4/1B5P/PP3PP1/R1BQR1K1 b - - 0 19,e8e1,229
r3R1k1/ppp2pp1/1b1p1q1p/5b2/3P4/1B5P/PP3PP1/R1BQ2K1 b - - 0 20,a8e8,233
4r1k1/ppp2pp1/1b1p1q1p/5b2/3P4/1B3Q1P/PP3PP1/R1B3K1 b - - 1 21,e8e1,477
4r1k1/ppp2pp1/3p1q1p/5b2/3b2P1/1B3Q1P/PP3P2/R1B3K1 b - g3 0 22,e8e1,646
6k1/ppp2pp1/3p1q1p/5b2/3b2P1/1B3Q1P/PP3P1K/R1B1r3 b - - 2 23,d4e5,642
6k1/ppp2pp1/3p1q1p/4bb2/6P1/1B3Q1P/PP3PK1/R1B1r3 b - - 4 24,f5e4,725
6k1/ppp2pp1/3p1q1p/4b3/4b1P1/1B3Q1P/PP3PK1/R1B1r3 w - - 5 25,f3e4,-682
rn1qr1k1/1p3pp1/2pp1n1p/1p2p3/2P1P3/P1N2N1P/1PPQ1PP1/R3R1K1 w - - 0 14,c4b5,190
rn1qr1k1/1p3pp1/2pp1n1p/4p3/2p1P3/P1N2N1P/1PP1QPP1/R3R1K1 w - - 0 15,e2c4,-19
rn1qr1k1/1p3pp1/2p2n1p/3Pp3/2Q5/P1N2N1P/1PP2PP1/R3R1K1 b - - 0 16,c6d5,1
rn1qr1k1/1p3pp1/5n1p/3pp3/8/PQN2N1P/1PP2PP1/R3R1K1 b - - 1 17,b8c6,15
r2qr1k1/1p3pp1/2n2n1p/3p4/3Np3/PQN4P/1PP2PP1/R3R1K1 w - - 2 19,a1d1,-14
r2qr1k1/1p3pp1/5n1p/3p4/3Rp3/PQN4P/1PP2PP1/4R1K1 b - - 0 20,e8e5,-59
r3r1k1/1p1q1pp1/5n1p/3N4/3Rp3/PQ5P/1PP2PP1/4R1K1 b - - 0 21,f6d5,-216
r3r1k1/1p1q1pp1/7p/3R4/4p3/PQ5P/1PP2PP1/4R1K1 b - - 0 22,d7c6,-193
r3r1k1/1p3pp1/7p/8/3Rp3/Pq5P/1PP2PP1/4R1K1 w - - 0 24,c2b3,152
2k4r/p4ppp/5n2/1Pq5/2b5/2P2P2/2B3PP/RN1R3K w - - 1 20,b5b6,-375
2k4r/p4ppp/8/1Pqn4/2b1N3/2P2P2/2B3PP/R2R3K b - - 4 21,c5c7,335
2k4r/p4ppp/8/1P1n4/2b1N3/2P1qP2/2B3PP/R2R3K w - - 5 22,e4d6,5
7r/p1k2ppp/8/1P1n4/2N5/2P1qP2/2B3PP/R2R3K b - - 0 23,e3c5,-7
7r/p1k2ppp/8/1P1n4/2N5/2q2P2/2B3PP/R2R3K w - - 0 24,c2e4,210
1k5r/R4ppp/8/1P1n4/2N5/2q2P2/2B3PP/R6K b - - 2 25,c3c4,0
1k5r/R4ppp/8/1P1n4/2N5/5P2/2q3PP/R6K w - - 0 26,a7a8,mate 2
4rrk1/1p4pp/p1q1pn2/8/3p4/7R/P4PPP/4QRK1 w - - 0 27,f2f4,-536
4rrk1/1p4pp/p4n2/3qp3/3p4/7R/P3QPPP/5RK1 w - - 0 29,e2d2,-585
4rrk1/6pp/p4n2/1p1q4/4p3/3p1P1R/P5PP/3Q1RK1 b - - 0 32,d5d4,1036
4rrk1/6pp/p4n2/1p6/3q4/3ppP1R/P5PP/3Q1R1K w - - 0 34,h3h4,-1007
4rr1k/6pp/p4n2/1p6/3q4/1Q1ppP1R/P5PP/5R1K w - - 2 35,f3f4,mate -12
4rr1k/6pp/p4n2/1p6/3q4/1Q1p1PR1/P3p1PP/5R1K w - - 0 36,b3b1,mate -7
4rr1k/6pp/p4n2/1p6/3q4/1Q3PR1/P2pp1PP/1R5K b - - 1 37,e2e1q,mate 2
7k/1p3rp1/p2p3p/8/6Pn/P3qN1P/1P3bBN/5R1K b - - 5 34,f7f3,mate 20
7k/1p4p1/p2p3p/8/6Pn/P3qN1P/1P3bB1/5R1K b - - 0 35,h4f3,mate 18
7k/1p4p1/p2p3p/8/6P1/P3qB1P/1P3b2/5R1K b - - 0 36,e3f3,mate 3
7k/1p4p1/p2p3p/8/6P1/P4q1P/1P3b1K/5R2 b - - 1 37,f3g3,mate 2
7k/1p4p1/p2p3p/4b3/6P1/P3q2P/1P4K1/5R2 w - - 6 40,f1f7,-806
r3r1k1/1p4p1/7p/5p2/3Rp3/PP5P/1P3PP1/4R1K1 w - f6 0 25,g2g4,153
r3r1k1/6p1/7p/1p3p2/1P1Rp3/P6P/1P3PP1/4R1K1 w - b6 0 26,d4d5,296
2r1r1k1/6p1/7p/1p1R1p2/1P2p3/P6P/1P3PP1/3R2K1 b - - 3 27,f5f4,-146
4r1k1/6p1/7p/1p1R1p2/1P2p3/P6P/1Pr2PP1/3R2K1 w - - 4 28,d1d2,181
4r1k1/6p1/7p/1R3p2/1P2p3/P6P/1Pr2PP1/3R2K1 b - - 0 28,e4e3,-2
4r1k1/6p1/7p/5R2/1P2p3/P6P/1r3PP1/3R2K1 b - - 0 29,b2a2,-219
4r1k1/6p1/7p/5R2/1P6/P3P2P/1r4P1/3R2K1 b - - 0 30,b2b3,-258
6k1/6p1/7p/5R2/1P6/P3r2P/1r4P1/3R2K1 w - - 0 31,f5f2,300
3R2k1/6p1/7p/5R2/1P6/P3r2P/1r4P1/6K1 b - - 1 31,g8h7,-67
3R1R2/6pk/7p/8/1P6/P3r2P/1r4P1/6K1 b - - 3 32,e3e2,0
3R2R1/6pk/7p/8/1P6/P6P/1r2r1P1/6K1 b - - 5 33,e2g2,280
3R2R1/6pk/7p/8/1P6/P6P/5rr1/4K3 b - - 3 35,f2e2,293
3R3R/6pk/7p/8/1P6/P6P/r5r1/4K3 b - - 5 36,h7g6,298
7R/5kp1/3R3p/8/1P6/P6P/r5r1/4K3 w - - 8 38,e1f1,-217
7R/5kp1/3R3p/8/1P6/P6P/r6r/6K1 b - - 11 39,h2h3,195
3R4/5kp1/3R3p/8/1P6/P6r/r7/6K1 b - - 1 40,a2a1,270
3R4/5kp1/3R3p/8/1P6/r7/r7/5K2 w - - 0 42,d8d7,-200
3R4/3R2p1/6kp/8/1P6/r7/r7/5K2 w - - 2 43,d8g8,-334
3R4/6pk/3R3p/8/1P6/r7/r7/5K2 w - - 4 44,d6d1,-365
3R4/6pk/3R3p/8/1P6/1r6/r7/6K1 w - - 6 45,d6d1,-427
1R6/6pk/3R3p/8/1P6/1r6/r7/6K1 b - - 7 45,b3b1,mate 2
